S_ID,Name,Store_type,Location_ID,Section,address,Deposit,Update,Machine,latitude,longitude,section_name
601,成功大學郵局(臺南7支),6,6001,25,臺南市東區大學路１號（光復校區內，近大學路西段校門口）,o,o,o,22.9977075,120.2144365,臺南市東區
602,臺南德高厝郵局(臺南12支),6,6002,25,臺南市東區崇德路678號,o,o,o,22.9674005,120.2274049,臺南市東區
603,臺南東城郵局(臺南18支),6,6003,25,臺南市東區府連路433、435號,o,o,o,22.9862199,120.2169965,臺南市東區
604,臺南東門郵局(臺南26支),6,6004,25,臺南市東區東門路二段216號,o,o,o,22.98492,120.2239379,臺南市東區
605,臺南東寧路郵局(臺南28支),6,6005,25,臺南市東區東寧路323號,o,o,o,22.9902989,120.2276279,臺南市東區
606,臺南小東郵局(臺南40支),6,6006,25,臺南市東區東和路45、47、49號,o,o,o,22.9985632,120.2294877,臺南市東區
607,臺南虎尾寮郵局(臺南49支),6,6007,25,臺南市東區自由路三段386號,o,o,o,22.9825435,120.2373208,臺南市東區
608,成功大學成杏校區--大門左側,6,6008,25,臺南市東區大學路1號,x,x,x,22.9965311,120.2185751,臺南市東區
609,復興國中--大門左側,6,6009,25,臺南市東區裕文路62號,x,x,x,22.9823224,120.2402632,臺南市東區
6010,國道高速公路局南區工程處--行政辦公處旁,6,60010,25,臺南市東區裕農路991號,x,x,o,22.9907898,120.2474203,臺南市東區
6011,成功大學光復校區--大門右側,6,60011,25,臺南市東區大學路1號,x,x,x,22.9965311,120.2185751,臺南市東區
6012,臺南一中--勝利路大門右側,6,60012,25,臺南市東區民族路1段1號,x,x,x,23.308237,120.318371,臺南市東區
6013,臺南監理站--大門左側,6,60013,25,臺南市東區林森路1段260號,x,x,x,22.9823941,120.2150795,臺南市東區
6014,臺南榮家--大門左側,6,60014,25,臺南市東區崇明路190號,x,o,x,22.9790514,120.2178248,臺南市東區
6015,後甲國中--林森路大門左側,6,60015,25,臺南市東區東平路260號,x,x,x,22.9955326,120.2264125,臺南市東區
6016,成功大學自強校區--大門右側,6,60016,25,臺南市東區大學路1號,x,x,x,22.9965311,120.2185751,臺南市東區
6017,成功大學成功校區--大門右側,6,60017,25,臺南市東區大學路1號,x,x,o,22.9965311,120.2185751,臺南市東區
6018,成功大學光復校區--正門守衛室旁,6,60018,25,臺南市東區大學路1號,x,x,o,22.9965311,120.2185751,臺南市東區
