S_ID,Name,Store_type,Location_ID,Section,Address,Latitude,Longitude,Rating
701,Joy Family Clinic,7,7001,25,"No. 132號, Section 1, Dongguang Rd, East District, Tainan City, Taiwan 701",22.9947258,120.2314131,3.8
702,陳錦標診所,7,7002,25,"No. 213號, Section 2, Dongmen Rd, East District, Tainan City, Taiwan 701",22.984705,120.2248818,3.4
703,葉正傑家庭醫學科診所,7,7003,25,"No. 144號, Chongxue Rd, East District, Tainan City, Taiwan 701",22.9811111,120.2245735,3.5
704,Yongkang Jiang Lin clinic,7,7004,25,"710, Taiwan, Tainan City, Zhonghua Rd, 219號臺南市永康區中華路２１９號１樓",23.0052158,120.2352109,2.7
705,Airlie clinic,7,7005,25,"No. 156號, Dongning Rd, East District, Tainan City, Taiwan 701",22.9912995,120.2233135,4.7
706,Hu Chong Yuan Fountain Clinic,7,7006,25,"No. 2之1號, Chongde Rd, East District, Tainan City, Taiwan 701",22.9823054,120.2172844,4.2
707,東仁診所,7,7007,25,"No. 305號, Section 2, Zhonghua E Rd, East District, Tainan City, Taiwan 701",22.9822424,120.2306318,4.5
708,福康診所,7,7008,25,"No. 18號, Section 3, Zhonghua E Rd, East District, Tainan City, Taiwan 701",22.9808026,120.2288026,5.0
709,依美琦時尚診所-台南總院 曼陀女王波 柔滴 魔滴 隆乳 隆鼻 雙眼皮,7,7009,25,"701037, Taiwan, Tainan City, East District, Section 1, Changrong Rd, 85號1樓",22.9829415,120.2165067,4.9
7010,Driver's License Body Check,7,70010,25,"No, No. 42, Chongde Rd, East District, Tainan City, Taiwan 701",22.9814986,120.2176148,5.0
7011,大東門讚診所（骨科、復健、微創手術治療、超音波檢查）,7,70011,25,"No. 253號, Section 1, Dongmen Rd, East District, Tainan City, Taiwan 701",22.9872604,120.2178423,4.5
7012,陳煌奇耳鼻喉科診所 (5/19-6/3耳鼻喉科休診，心臟內科照常看診),7,70012,25,"No. 271之4號, Chongxue Rd, East District, Tainan City, Taiwan 701",22.982418,120.2254679,3.4
7013,王盈彬精神科診所,7,70013,25,"No. 406號, Chongshan Rd, East District, Tainan City, Taiwan 70169",22.9745624,120.22896,4.3
7014,心自在身心診所｜失眠｜自律神經失調｜醫學中心等級rTMS治療｜兒童心智評估,7,70014,25,"No. 32號, Chongming Rd, East District, Tainan City, Taiwan 701",22.9813478,120.2162518,4.6
7015,蔡明輝診所,7,70015,25,"No. 176號, Chongxue Rd, East District, Tainan City, Taiwan 701",22.9816351,120.2251529,2.8
7016,台南市東區崇明十四街69號,7,70016,25,"No. 69號, Chongming 14th St, East District, Tainan City, Taiwan 701",22.9742221,120.225966,5.0
7017,莊林診所,7,70017,25,"No. 3號, Lane 158, Section 2, Dongmen Rd, East District, Tainan City, Taiwan 701",22.9854513,120.2213547,0.0
7018,冠安內科診所-舒眠大腸鏡｜舒適經鼻胃鏡｜高解析彩色超音波,7,70018,25,"No. 182號, Section 1, Changrong Rd, East District, Tainan City, Taiwan 701037",22.9845369,120.2182541,4.8
