S_ID,Name,Store_type,Location_ID,Section,Address,Latitude,Longitude,Rating
401,Family Mart,4,4001,25,"No. 135號, Kangle St, West Central District, Tainan City, Taiwan 700",22.9928181,120.1944358,2.9
402,7-ELEVEN 民族門市,4,4002,25,"No. 53號, Section 2, Minzu Rd, West Central District, Tainan City, Taiwan 700",22.9943237,120.2102859,3.6
403,7-ELEVEN 友愛門市,4,4003,25,"No. 197之199號, You'ai St, West Central District, Tainan City, Taiwan 700",22.9918299,120.1975141,3.8
404,FamilyMart National University of Tainan,4,4004,25,"No. 190號, Wufei St, West Central District, Tainan City, Taiwan 700",22.9826407,120.2058487,3.4
405,FamilyMart Tainan Linsen,4,4005,25,"No. 188號, Section 2, Linsen Rd, East District, Tainan City, Taiwan 701",22.9890814,120.2240204,3.2
406,FamilyMart Tainan Jhongyi,4,4006,25,"No. 56號, Section 1 Zhongyi Rd, West Central District, Tainan City, Taiwan 700",22.9864013,120.2019069,2.2
407,7-ELEVEN 永福門市,4,4007,25,"1樓, No. 65號, Section 2, Yongfu Rd, West Central District, Tainan City, Taiwan 700",22.9918774,120.200665,3.8
408,7-ELEVEN 康樂門市 (SNOOPY主題商店),4,4008,25,"1樓, No. 223號, Kangle St, West Central District, Tainan City, Taiwan 700",22.9947797,120.1948622,3.9
409,全家便利商店 台南永福店-霜淇淋單口味,4,4009,25,"No. 191號, Section 1, Yongfu Rd, West Central District, Tainan City, Taiwan 700",22.9881984,120.1999626,3.4
4010,全家便利商店 台南常榮店,4,40010,25,"1、2樓, No. 39號, Changrong Rd Section 3, East District, Tainan City, Taiwan 701020",22.9936558,120.2215537,4.0
4011,7-ELEVEN 新東門市,4,40011,25,"No. 84號, Section 2, Linsen Rd, East District, Tainan City, Taiwan 701",22.9869887,120.2231252,4.2
4012,全家便利商店 台南前站店,4,40012,25,"No. 207號, Zhongshan Rd, West Central District, Tainan City, Taiwan 700",22.9967197,120.2112075,1.8
4013,7-ELEVEN 開山門市,4,40013,25,"700, Taiwan, Tainan City, West Central District, Kaishan Rd, 245號1樓",22.9861432,120.210111,4.0
4014,FamilyMart,4,40014,25,"No. 257號, Section 2, Minzu Rd, West Central District, Tainan City, Taiwan 700",22.9961194,120.2041398,3.4
4015,FamilyMart Tainan Dedong,4,40015,25,"全棟, No. 83號, Dedong St, East District, Tainan City, Taiwan 701",22.961782,120.2296387,2.9
4016,全家便利商店-台南成大店,4,40016,25,"No. 1號, Dasyue Rd, East District, Tainan City, Taiwan 701",22.9995393,120.2151075,2.9
4017,7-ELEVEN 東和門市,4,40017,25,"701, Taiwan, Tainan City, East District, Dong'an Rd, 291號293號1樓",22.9975866,120.2271248,4.4
4018,7-ELEVEN 新東育門市,4,40018,25,"1樓2樓, No. 53號大學路西段 East District, Tainan City, Taiwan 701",22.9963236,120.2169355,3.4
4019,Family Mart,4,40019,25,"No. 212號, Chenggong Rd, North District, Tainan City, Taiwan 704",22.9991915,120.203374,3.6
4020,Family Mart,4,40020,25,"No. 150號, Kangle St, West Central District, Tainan City, Taiwan 700",22.9948988,120.1950902,3.3
4021,7-ELEVEN 南門城門市,4,40021,25,"1樓, No. 229號, Nanmen Rd, West Central District, Tainan City, Taiwan 700",22.9837151,120.2041263,2.8
4022,7-ELEVEN 赤崁門市,4,40022,25,"No. 331號, Section 2, Minzu Rd, West Central District, Tainan City, Taiwan 700",22.9967121,120.2026461,3.8
4023,千浤便利商店,4,40023,25,"710, Taiwan, Tainan City, Yongkang District, Lane 203, Zhonghuayi Rd, 1號1號",23.0040454,120.2336733,5.0
4024,7-ELEVEN 天公門市,4,40024,25,"No. 109號, Section 2, Zhongyi Rd, West Central District, Tainan City, Taiwan 700",22.9940459,120.2031774,3.9
4025,Family Mart,4,40025,25,"No. 1號, Section 1, Minzu Rd, East District, Tainan City, Taiwan 701",22.9948105,120.2167921,4.5
4026,全家便利商店-台南東德店,4,40026,25,"No. 128號, Chongde Rd, East District, Tainan City, Taiwan 701",22.9795967,120.2193838,3.0
4027,7-ELEVEN 致聖門市,4,40027,25,"No. 12號, Section 2, Beimen Rd, East District, Tainan City, Taiwan 701",22.9977929,120.2123909,3.7
4028,7-ELEVEn T.S. Mall Store,4,40028,25,"701, Taiwan, Tainan City, East District, Section 1, Zhonghua E Rd, 366號3樓",22.9911239,120.232852,3.6
4029,7-ELEVEN 竹篙厝門市,4,40029,25,"701, Taiwan, Tainan City, East District, Renhe Rd, 126號1樓",22.9709381,120.2332039,3.5
