title,id,kind_name,room_str,floor_str,community,price,price_unit,section_name,street_name,location,area
成大城《高樓層３房＋平車》含管、含１Ｇ網,16480921,整層住家,3房2廳,17F/24F,成大城,"25,500",元/月,北區,開元路,北區-開元路501號,26.2
可報稅/優質社區/外商最愛/日式優質兩房,16497766,整層住家,2房2廳,10F/14F,太子文化會館,"22,000",元/月,東區,文化路,東區-文化路,25.0
可寵物，含管理費，傢俱家電俱全,16388479,整層住家,2房1廳,4F/14F,站前casa,"21,000",元/月,北區,公園南路,北區-公園南路,17.3
❤️租屋找阿興，超佛心可寵物/租補3房,16559378,整層住家,3房2廳,13F/14F,清景麟巴克禮,"30,000",元/月,東區,崇元一街,東區-崇元一街,36.7
走路3分鐘到赤崁樓店面員工宿可寵物可神明,16478404,整層住家,2房1廳,2F/3F,,"11,000",元/月,中西區,成功路,中西區-成功路285巷,20.0
#東區#電大兩房兩廳一衛#可申請租補,16412953,整層住家,2房2廳,5F/11F,,"17,000",元/月,東區,崇信街,東區-崇信街,20.0
清新高雅亮麗二房,14783787,整層住家,2房1廳,15F/20F,鄉城陽光鎮大廈,"14,000",元/月,東區,中華東路二段,東區-中華東路二段197號,22.3
東區學生最愛健身明亮三房*近成大*,16441679,整層住家,3房1廳,3F/5F,崇誨國宅,"13,000",元/月,東區,林森路二段,東區-林森路二段192巷,28.0
水交社優質社區家具、家電齊全,16555197,整層住家,3房2廳,5F/7F,世界好美麗,"25,000",元/月,中西區,健康路一段,中西區-健康路一段,49.0
🌲遠雄頂美-2房含管-家具家電齊全🌲,16497634,整層住家,2房1廳,6F/23F,遠雄頂美,"27,000",元/月,中西區,中華西路二段,中西區-中華西路二段,16.0
☘️沐光❤️台南大學/成功大學歡迎合租,16385856,整層住家,6房1廳,1F~3F/3F,,"28,000",元/月,東區,大同路一段,東區-大同路一段73巷,75.0
南華街15號3間套房近永華路新光西門,16562876,整層住家,3房0廳,2F/3F,,"6,800",元/月,中西區,南華街,中西區-南華街15號,20.0
【大晟社會住宅】近南紡健身5樓兩房可租補,16464025,整層住家,2房2廳,5F/5F,,"9,500",元/月,東區,裕豐街,東區-裕豐街,15.8
鄭子寮新源邸優質公園美景2+1房平車,16553721,整層住家,2房2廳,10F/24F,遠雄新源邸,"33,000",元/月,北區,海安路三段,北區-海安路三段,40.0
崇明居大坪美居附平車(租),15317305,整層住家,2房2廳,9F/13F,崇明居,"25,000",元/月,東區,崇明路,東區-崇明路,33.0
★頂美一街~大套房~全新整修☆,16478998,整層住家,1房1廳,6F/7F,,"9,000",元/月,中西區,頂美一街,中西區-頂美一街,10.0
【清景麟巴克禮】景觀三房平車，傢俱家電全,16331252,整層住家,3房2廳,14F/14F,清景麟巴克禮,"27,500",元/月,東區,崇元一街,東區-崇元一街,41.5
【北府苑】全新完工，三改二房附平面車位,16537305,整層住家,3房2廳,4F/15F,遠雄北府苑,"26,000",元/月,北區,文成一路,北區-文成一路,41.2
商圈驛站庭園靜謐商務LV,16561805,整層住家,2房2廳,9F/9F,太子站前LV,"23,000",元/月,中西區,衛民街,中西區-衛民街,23.0
北區超值站前2+1房,16476622,整層住家,3房2廳,2F/14F,站前casa,"23,000",元/月,北區,公園南路,北區-公園南路,22.0
【耘非凡4房】+雙平車全新未住,16475528,整層住家,4房2廳,3F/26F,富立耘非凡,"88,000",元/月,東區,林森路一段,東區-林森路一段,117.9
北區精緻3房電梯大樓✨可貓✨台水電,16516081,整層住家,3房1廳,6F/7F,豪門一品,"20,000",元/月,北區,北園街,北區-北園街,18.0
㊝近南紡整層分租/可租屋補助/附平面車位,16492754,整層住家,2房0廳,2F/4F,,"12,000",元/月,東區,裕農路,東區-裕農路,15.0
國成社宅-開元路桂花鄉採光三房(可租補),16476075,整層住家,3房2廳,9F/14F,,"20,000",元/月,北區,開元路,北區-開元路485巷41弄,27.1
國成社宅-北區溫馨兩房(5/20後可看,16482278,整層住家,2房2廳,14F/24F,成大城,"19,000",元/月,北區,開元路,北區-開元路,15.0
國成社會住宅-東區三房溫馨住家,16545772,整層住家,3房2廳,11F/13F,鄉城漢唐,"25,000",元/月,東區,裕農路,東區-裕農路,27.0
國成社宅-清景麟全新兩房含車管可租補,16552568,整層住家,2房2廳,13F/14F,,"23,000",元/月,東區,崇元一街,東區-崇元一街,12.0
近裕農路/好停車/現代風/速網/二房一衛,16413771,整層住家,2房0廳,3F~4F/4F,,"11,000",元/月,東區,裕德二街,東區-裕德二街22巷,13.0
站前CASA兩房拎包入住(含管),16543712,整層住家,2房2廳,3F/14F,站前casa,"21,000",元/月,北區,公園南路,北區-公園南路,27.0
大同路健身公寓三房兩廳(可租補),16543939,整層住家,3房2廳,4F/5F,,"17,000",元/月,中西區,大同路一段,中西區-大同路一段238巷,27.9
(租)成大芳鄰採光三房平車,16517500,整層住家,3房2廳,6F/6F,四維國宅,"22,000",元/月,東區,育樂街,東區-育樂街,29.0
文化中心芳鄰裝潢大二房+車位,16482160,整層住家,2房2廳,5F/7F,奧斯汀,"18,500",元/月,東區,榮譽街,東區-榮譽街123巷1弄7號,17.5
❤️租屋找阿興，高樓層超優美兩房首選,16474253,整層住家,2房2廳,10F/14F,太子文化會館,"22,000",元/月,東區,文化路,東區-文化路,25.0
成大兩房網五百M可申請租金補助續租有優惠,16460391,整層住家,2房1廳,2F/6F,,"15,000",元/月,北區,東豐路,北區-東豐路209號,12.5
國賓影城正樓上4房適合成大崑山同學合租,16554824,整層住家,4房2廳,11F/14F,空中別墅,"19,500",元/月,東區,中華東路一段,東區-中華東路一段90號,35.6
遠雄新源邸全新2+1房平車,16497919,整層住家,2房2廳,23F/24F,遠雄新源邸,"38,000",元/月,北區,大和路,北區-大和路,49.8
長榮新城-生活機能佳、交通便利、環境好,16387295,整層住家,3房2廳,5F/12F,長榮新城,"17,000",元/月,北區,開元路,北區-開元路333巷17號,26.0
台南市中心樓下有電影院百貨老街美食集中區,16442152,整層住家,2房1廳,18F/20F,YES遠東,"17,500",元/月,中西區,中成路,中西區-中成路,21.0
夢時代/溫馨3房/含平車含管理費,16553175,整層住家,3房2廳,12F/15F,,"28,000",元/月,東區,莊敬路,東區-莊敬路,40.0
安家✨東區崇學苑優質三房平車含管,16503940,整層住家,3房2廳,6F/15F,崇學苑,"25,000",元/月,東區,崇德三街,東區-崇德三街,24.8
成大開元商圈高樓雅緻三房兩衛電梯美宅,16538361,整層住家,3房2廳,13F/14F,鄉城桂花鄉,"25,000",元/月,北區,開元路,北區-開元路485巷41弄,21.0
適合新婚夫婦小家庭最愛景觀三房包管及平車,16506286,整層住家,3房2廳,9F/19F,世紀之門大樓,"23,800",元/月,北區,北園街,北區-北園街8巷,35.0
（可租補）採光佳/北區3房平車,12291711,整層住家,3房3廳,3F/9F,萬通世界二期,"26,000",元/月,北區,北成路,北區-北成路80巷22弄,28.0
舒適無印¥北歐風¥清新節能宅,16550105,整層住家,4房2廳,6F/8F,無,"26,500",元/月,東區,德東街,東區-德東街151巷,39.0
北區文元國小優質裝潢3房提包入住,16556053,整層住家,3房2廳,2F/15F,北府苑,"33,000",元/月,北區,文成一路,北區-文成一路98號,44.8
【崇德商圈】兩房~含車含管附家電~可租補,16455801,整層住家,2房2廳,5F/7F,上東區,"24,500",元/月,東區,崇德十五街,東區-崇德十五街,35.2
太子峰雲會~漂亮裝潢質感3房+平車家電全,16534113,整層住家,3房2廳,10F/13F,太子峰雲會,"35,000",元/月,東區,仁和路,東區-仁和路,62.6
一番人気豪宅（穩定工作者價可議）,16511232,整層住家,2房2廳,10F/14F,太子文化會館,"23,000",元/月,東區,文化路,東區-文化路,25.0
市立醫院崇德商圈2房電寓，機械車位不可寵,16450597,整層住家,2房2廳,5F/7F,,"15,500",元/月,東區,崇德十八街,東區-崇德十八街,20.0
屋主自租-採光佳通風好三房兩衛,16349407,整層住家,3房2廳,5F/5F,,"18,000",元/月,東區,東光路二段,東區-東光路二段134號,28.0
富立和築2+1房+平面車位(含管理費),16433929,整層住家,3房2廳,4F/15F,富立真邦/和築真邦,"28,000",元/月,東區,崇賢三路,東區-崇賢三路,33.4
北區電梯大樓適合住家/工作室(空屋),16493444,整層住家,3房2廳,7F/10F,貴族天下,"18,000",元/月,北區,公園路,北區-公園路134號,28.6
屋主俗俗租近學區、臨路歡迎安親文教類,16500719,整層住家,4房0廳,2F~3F/4F,,"8,500",元/月,中西區,民權路三段,中西區-民權路三段283號,44.0
興城團隊-成大城邊間採光3房,16414719,整層住家,3房2廳,2F/24F,成大城,"22,000",元/月,北區,開元路,北區-開元路,22.0
【不用管社宅】恩典美房,16502317,整層住家,3房2廳,4F/12F,崇誨國宅,"18,000",元/月,東區,林森路二段,東區-林森路二段,36.5
可報稅/優質社區/外商最愛/日式優質兩房,16497766,整層住家,2房2廳,10F/14F,太子文化會館,"22,000",元/月,東區,文化路,東區-文化路,25.0
金生金室高樓層景觀湯屋美寓+汽車停車位,16483766,整層住家,1房1廳,11F/14F,金生金室,"22,000",元/月,北區,公園南路,北區-公園南路,16.2
皇龍雲鼎👑頂級3房👑雙平車豪邸,16153806,整層住家,3房2廳,8F/20F,皇龍雲鼎,"60,000",元/月,中西區,金華路三段,中西區-金華路三段,75.0
成大城《高樓層３房＋平車》含管、含１Ｇ網,16480921,整層住家,3房2廳,17F/24F,成大城,"25,500",元/月,北區,開元路,北區-開元路501號,26.2
五妃街頂客極優美學精品宅,16390152,整層住家,1房2廳,7F/7F,甲桂林,"25,000",元/月,中西區,五妃街,中西區-五妃街,23.9
美景如畫.大3房.大陽台.南大.新天地,16492806,整層住家,3房2廳,4F/5F,,"16,500",元/月,中西區,樹林街二段,中西區-樹林街二段115號,34.0
東區德式真諦三房平車,16458978,整層住家,3房2廳,9F/11F,德式真諦,"27,000",元/月,東區,自由路一段,東區-自由路一段,35.3
二房一廳稀有大露台庭園宅,16493341,整層住家,2房1廳,2F/14F,太子文元,"21,500",元/月,北區,北成路,北區-北成路,25.0
成大城Ａ棟採光三房雙陽台（含管理費）,16411886,整層住家,3房2廳,8F/24F,成大城,"23,500",元/月,東區,開元路,東區-開元路,22.5
民生正興星鑽無敵運河景三房二廳二衛大露臺,14522861,整層住家,3房2廳,20F/21F,寶麗金,"16,800",元/月,中西區,金華路三段,中西區-金華路三段,32.0
大同路透天別墅近南大成大嘉藥大東夜市,14240727,整層住家,6房2廳,整棟/4F,,"25,000",元/月,東區,立德十一路,東區-立德十一路81巷,50.0
北安路一段透天5樓套房出租,16557169,整層住家,1房0廳,5F/5F,,"8,500",元/月,北區,北安路一段,北區-北安路一段,5.0
