H_id,Title,Price,Score,Equipment_ID,Location_ID,Housetype_ID,Landlord_ID
16480921,成大城《高樓層３房＋平車》含管、含１Ｇ網,"25,500",7,1,1,1,9
16497766,可報稅/優質社區/外商最愛/日式優質兩房,"22,000",8,2,2,2,2
16388479,可寵物，含管理費，傢俱家電俱全,"21,000",6,3,3,3,7
16559378,❤️租屋找阿興，超佛心可寵物/租補3房,"30,000",10,4,4,4,15
16478404,走路3分鐘到赤崁樓店面員工宿可寵物可神明,"11,000",2,5,5,5,14
16412953,#東區#電大兩房兩廳一衛#可申請租補,"17,000",6,6,6,6,21
14783787,清新高雅亮麗二房,"14,000",5,7,7,7,20
16441679,東區學生最愛健身明亮三房*近成大*,"13,000",0,8,8,8,8
16555197,水交社優質社區家具、家電齊全,"25,000",5,9,9,9,9
16497634,🌲遠雄頂美-2房含管-家具家電齊全🌲,"27,000",10,10,10,10,19
16385856,☘️沐光❤️台南大學/成功大學歡迎合租,"28,000",3,11,11,11,6
16562876,南華街15號3間套房近永華路新光西門,"6,800",6,12,12,12,6
16464025,【大晟社會住宅】近南紡健身5樓兩房可租補,"9,500",6,13,13,13,21
16553721,鄭子寮新源邸優質公園美景2+1房平車,"33,000",10,14,14,14,16
15317305,崇明居大坪美居附平車(租),"25,000",7,15,15,15,10
16478998,★頂美一街~大套房~全新整修☆,"9,000",10,16,16,16,4
16331252,【清景麟巴克禮】景觀三房平車，傢俱家電全,"27,500",8,17,17,17,15
16537305,【北府苑】全新完工，三改二房附平面車位,"26,000",1,18,18,18,6
16561805,商圈驛站庭園靜謐商務LV,"23,000",7,19,19,19,23
16476622,北區超值站前2+1房,"23,000",3,20,20,20,18
16475528,【耘非凡4房】+雙平車全新未住,"88,000",10,21,21,21,21
16516081,北區精緻3房電梯大樓✨可貓✨台水電,"20,000",3,22,22,22,6
16492754,㊝近南紡整層分租/可租屋補助/附平面車位,"12,000",0,23,23,23,11
16476075,國成社宅-開元路桂花鄉採光三房(可租補),"20,000",9,24,24,24,1
16482278,國成社宅-北區溫馨兩房(5/20後可看,"19,000",3,25,25,25,9
16545772,國成社會住宅-東區三房溫馨住家,"25,000",5,26,26,26,6
16552568,國成社宅-清景麟全新兩房含車管可租補,"23,000",5,27,27,27,16
16413771,近裕農路/好停車/現代風/速網/二房一衛,"11,000",2,28,28,28,2
16543712,站前CASA兩房拎包入住(含管),"21,000",5,29,29,29,1
16543939,大同路健身公寓三房兩廳(可租補),"17,000",6,30,30,30,13
16517500,(租)成大芳鄰採光三房平車,"22,000",3,31,31,31,2
16482160,文化中心芳鄰裝潢大二房+車位,"18,500",5,32,32,32,14
16474253,❤️租屋找阿興，高樓層超優美兩房首選,"22,000",9,33,33,33,21
16460391,成大兩房網五百M可申請租金補助續租有優惠,"15,000",3,34,34,34,18
16554824,國賓影城正樓上4房適合成大崑山同學合租,"19,500",4,35,35,35,18
16497919,遠雄新源邸全新2+1房平車,"38,000",9,36,36,36,8
16387295,長榮新城-生活機能佳、交通便利、環境好,"17,000",6,37,37,37,3
16442152,台南市中心樓下有電影院百貨老街美食集中區,"17,500",10,38,38,38,18
16553175,夢時代/溫馨3房/含平車含管理費,"28,000",0,39,39,39,10
16503940,安家✨東區崇學苑優質三房平車含管,"25,000",7,40,40,40,8
16538361,成大開元商圈高樓雅緻三房兩衛電梯美宅,"25,000",7,41,41,41,20
16506286,適合新婚夫婦小家庭最愛景觀三房包管及平車,"23,800",8,42,42,42,1
12291711,（可租補）採光佳/北區3房平車,"26,000",6,43,43,43,17
16550105,舒適無印¥北歐風¥清新節能宅,"26,500",4,44,44,44,24
16556053,北區文元國小優質裝潢3房提包入住,"33,000",4,45,45,45,5
16455801,【崇德商圈】兩房~含車含管附家電~可租補,"24,500",9,46,46,46,18
16534113,太子峰雲會~漂亮裝潢質感3房+平車家電全,"35,000",4,47,47,47,10
16511232,一番人気豪宅（穩定工作者價可議）,"23,000",5,48,48,48,23
16450597,市立醫院崇德商圈2房電寓，機械車位不可寵,"15,500",7,49,49,49,5
16349407,屋主自租-採光佳通風好三房兩衛,"18,000",8,50,50,50,8
16433929,富立和築2+1房+平面車位(含管理費),"28,000",2,51,51,51,17
16493444,北區電梯大樓適合住家/工作室(空屋),"18,000",7,52,52,52,21
16500719,屋主俗俗租近學區、臨路歡迎安親文教類,"8,500",8,53,53,53,22
16414719,興城團隊-成大城邊間採光3房,"22,000",5,54,54,54,3
16502317,【不用管社宅】恩典美房,"18,000",0,55,55,55,18
16497766,可報稅/優質社區/外商最愛/日式優質兩房,"22,000",1,56,56,56,22
16483766,金生金室高樓層景觀湯屋美寓+汽車停車位,"22,000",8,57,57,57,15
16153806,皇龍雲鼎👑頂級3房👑雙平車豪邸,"60,000",10,58,58,58,5
16480921,成大城《高樓層３房＋平車》含管、含１Ｇ網,"25,500",3,59,59,59,16
16390152,五妃街頂客極優美學精品宅,"25,000",5,60,60,60,20
16492806,美景如畫.大3房.大陽台.南大.新天地,"16,500",8,61,61,61,4
16458978,東區德式真諦三房平車,"27,000",6,62,62,62,8
16493341,二房一廳稀有大露台庭園宅,"21,500",10,63,63,63,1
16411886,成大城Ａ棟採光三房雙陽台（含管理費）,"23,500",5,64,64,64,12
14522861,民生正興星鑽無敵運河景三房二廳二衛大露臺,"16,800",10,65,65,65,1
14240727,大同路透天別墅近南大成大嘉藥大東夜市,"25,000",8,66,66,66,11
16557169,北安路一段透天5樓套房出租,"8,500",5,67,67,67,11
16556915,前鋒路精華地段,"7,500",4,68,68,68,24
16556848,成大城無敵景觀兩房平車,"22,000",3,69,69,69,12
16465672,【大晟社會住宅】東區稀有超大四房可寵!,"22,000",0,70,70,70,4
16534547,豐家社宅★免仲可補助★東寧公園正三房,"21,400",5,71,71,71,3
16312272,🚀遠雄頂美2房含管家具家電齊全🚀,"27,000",9,72,72,72,2
16536519,"獨棟透天,4房2衛可租補,8月後入","20,000",9,73,73,73,20
16555404,精品台南後火車站成大4房2衛1廳1廚陽台,"32,000",1,74,74,74,14
16493165,✩࿐鑫左岸兩房傢俱全含車管,"25,000",0,75,75,75,23
16414587,北區北府苑全新系統櫃美三房含車管,"32,000",5,76,76,76,25
16394920,桂花鄉稀有面公園温馨三房,"20,000",7,77,77,77,6
16552365,"近成大校區,南紡夢時代,電梯公寓","24,000",2,78,78,78,1
16551789,★近成大/南紡～東光路美二房~現況無廚房,"17,500",4,79,79,79,4
