L_ID,Section,Street,Address,Lat,Lng
1,2,開元路,北區-開元路501號,23.0106246,120.2248241
2,25,文化路,東區-文化路,22.9770006,120.231878
3,2,公園南路,北區-公園南路,23.0017383,120.2062692
4,25,崇元一街,東區-崇元一街,22.962863,120.2268473
5,3,成功路,中西區-成功路285巷,22.9994947,120.2016313
6,25,崇信街,東區-崇信街,22.9811191,120.2268805
7,25,中華東路二段,東區-中華東路二段197號,22.9842931,120.232584
8,25,林森路二段,東區-林森路二段192巷,22.9891959,120.223786
9,3,健康路一段,中西區-健康路一段,22.9813884,120.2045627
10,3,中華西路二段,中西區-中華西路二段,22.996535,120.1864895
11,25,大同路一段,東區-大同路一段73巷,22.9870363,120.2113466
12,3,南華街,中西區-南華街15號,22.9889152,120.1910594
13,25,裕豐街,東區-裕豐街,22.9867194,120.2270552
14,2,海安路三段,北區-海安路三段,23.0100408,120.2000427
15,25,崇明路,東區-崇明路,22.9747611,120.2226808
16,3,頂美一街,中西區-頂美一街,23.0014756,120.1834966
17,25,崇元一街,東區-崇元一街,22.962863,120.2268473
18,2,文成一路,北區-文成一路,23.0139576,120.2051627
19,3,衛民街,中西區-衛民街,22.9929713,120.2097953
20,2,公園南路,北區-公園南路,23.0017383,120.2062692
21,25,林森路一段,東區-林森路一段,22.9826678,120.217294
22,2,北園街,北區-北園街,23.0112718,120.2230652
23,25,裕農路,東區-裕農路,22.9859503,120.226865
24,2,開元路,北區-開元路485巷41弄,23.0112753,120.2242216
25,2,開元路,北區-開元路,23.0076856,120.2208649
26,25,裕農路,東區-裕農路,22.9859503,120.226865
27,25,崇元一街,東區-崇元一街,22.962863,120.2268473
28,25,裕德二街,東區-裕德二街22巷,22.9863714,120.2486802
29,2,公園南路,北區-公園南路,23.0017383,120.2062692
30,3,大同路一段,中西區-大同路一段238巷,22.9819817,120.2116523
31,25,育樂街,東區-育樂街,22.9940567,120.2146721
32,25,榮譽街,東區-榮譽街123巷1弄7號,22.9753664,120.2184807
33,25,文化路,東區-文化路,22.9770006,120.231878
34,2,東豐路,北區-東豐路209號,23.0034366,120.220229
35,25,中華東路一段,東區-中華東路一段90號,22.9953021,120.2340334
36,2,大和路,北區-大和路,23.0134054,120.1899118
