S_ID,district_tw,Store_type,Location_ID,Village,StopId,StopName,RouteId,RouteName,Section
201,台南市北區,2,2001,"""雙安里""",垃圾車3515,"""臨安路二段53號""",27,"""北區-01""",2
202,台南市北區,2,2002,"""立人里""",垃圾車3516,"""公園南路353號""",27,"""北區-01""",2
203,台南市北區,2,2003,"""北華里""",垃圾車3517,"""裕民街33號""",27,"""北區-01""",2
204,台南市北區,2,2004,"""北華里""",垃圾車3518,"""長北街23號""",27,"""北區-01""",2
205,台南市北區,2,2005,"""和順里""",垃圾車3519,"""西門路三段159號""",27,"""北區-01""",2
206,台南市北區,2,2006,"""和順里""",垃圾車3520,"""公園南路340號""",27,"""北區-01""",2
207,台南市北區,2,2007,"""和順里""",垃圾車3521,"""臨安路二段248號""",27,"""北區-01""",2
208,台南市北區,2,2008,"""和順里""",垃圾車3522,"""育德路36號""",27,"""北區-01""",2
209,台南市北區,2,2009,"""和順里""",垃圾車3523,"""育德路47號""",27,"""北區-01""",2
2010,台南市北區,2,20010,"""和順里""",垃圾車3524,"""育德路15號""",27,"""北區-01""",2
2011,台南市北區,2,20011,"""和順里""",垃圾車3525,"""民德路36號""",27,"""北區-01""",2
2012,台南市北區,2,20012,"""和順里""",垃圾車3526,"""民德路56號""",27,"""北區-01""",2
2013,台南市北區,2,20013,"""和順里""",垃圾車3527,"""民德路58巷6弄1號""",27,"""北區-01""",2
2014,台南市北區,2,20014,"""和順里""",垃圾車3528,"""民德路58巷24弄1號""",27,"""北區-01""",2
2015,台南市北區,2,20015,"""和順里""",垃圾車3529,"""育德二路51巷1號""",27,"""北區-01""",2
2016,台南市北區,2,20016,"""和順里""",垃圾車3530,"""育德二路31巷2號""",27,"""北區-01""",2
2017,台南市北區,2,20017,"""和順里""",垃圾車3531,"""民德路92號""",27,"""北區-01""",2
2018,台南市北區,2,20018,"""和順里""",垃圾車3532,"""臨安路二段249巷67號""",27,"""北區-01""",2
2019,台南市北區,2,20019,"""和順里""",垃圾車3533,"""臨安路二段249巷24號""",27,"""北區-01""",2
2020,台南市北區,2,20020,"""和順里""",垃圾車3534,"""民德路105巷30號""",27,"""北區-01""",2
2021,台南市北區,2,20021,"""和順里""",垃圾車3535,"""民德路105巷6號""",27,"""北區-01""",2
2022,台南市北區,2,20022,"""和順里""",垃圾車3536,"""民德路97號""",27,"""北區-01""",2
2023,台南市北區,2,20023,"""和順里""",垃圾車3537,"""民德路85巷19號""",27,"""北區-01""",2
2024,台南市北區,2,20024,"""和順里""",垃圾車3538,"""民德路85巷70號""",27,"""北區-01""",2
2025,台南市北區,2,20025,"""和順里""",垃圾車3539,"""民德路95巷48號""",27,"""北區-01""",2
2026,台南市北區,2,20026,"""和順里""",垃圾車3540,"""民德路95巷18號""",27,"""北區-01""",2
2027,台南市北區,2,20027,"""和順里""",垃圾車3541,"""臨安路二段347號""",27,"""北區-01""",2
2028,台南市北區,2,20028,"""和順里""",垃圾車3542,"""臨安路二段305號""",27,"""北區-01""",2
2029,台南市北區,2,20029,"""和順里""",垃圾車3543,"""臨安路二段247號""",27,"""北區-01""",2
2030,台南市北區,2,20030,"""雙安里""",垃圾車3544,"""臨安路二段193號""",27,"""北區-01""",2
2031,台南市北區,2,20031,"""雙安里""",垃圾車3545,"""臨安路二段171號""",27,"""北區-01""",2
2032,台南市北區,2,20032,"""雙安里""",垃圾車3546,"""臨安路二段135號""",27,"""北區-01""",2
2033,台南市北區,2,20033,"""雙安里""",垃圾車3547,"""臨安路二段53號""",27,"""北區-01""",2
2034,台南市北區,2,20034,"""雙安里""",垃圾車3548,"""臨安路二段17號""",27,"""北區-01""",2
2035,台南市北區,2,20035,"""雙安里""",垃圾車3549,"""成功路628號""",27,"""北區-01""",2
2036,台南市北區,2,20036,"""雙安里""",垃圾車3550,"""臨安路二段143巷116號""",27,"""北區-01""",2
2037,台南市北區,2,20037,"""雙安里""",垃圾車3551,"""臨安路二段143巷80弄2號""",27,"""北區-01""",2
2038,台南市北區,2,20038,"""立人里""",垃圾車3552,"""臨安路二段92號""",27,"""北區-01""",2
2039,台南市北區,2,20039,"""和順里""",垃圾車3553,"""海安路三段134號""",27,"""北區-01""",2
2040,台南市北區,2,20040,"""和順里""",垃圾車3554,"""海安路三段176號""",27,"""北區-01""",2
2041,台南市北區,2,20041,"""和順里""",垃圾車3555,"""海安路三段204號""",27,"""北區-01""",2
2042,台南市北區,2,20042,"""雙安里""",垃圾車3556,"""臨安路2段143巷90弄20號""",27,"""北區-01""",2
2043,台南市北區,2,20043,"""雙安里""",垃圾車3557,"""臨安路二段195巷50號""",27,"""北區-01""",2
2044,台南市北區,2,20044,"""雙安里""",垃圾車3558,"""海安路三段163號""",27,"""北區-01""",2
2045,台南市北區,2,20045,"""雙安里""",垃圾車3559,"""臨安路二段195巷1號""",27,"""北區-01""",2
2046,台南市北區,2,20046,"""雙安里""",垃圾車3560,"""海安路三段135巷45號""",27,"""北區-01""",2
2047,台南市北區,2,20047,"""雙安里""",垃圾車3561,"""海安路三段135巷23號""",27,"""北區-01""",2
2048,台南市北區,2,20048,"""雙安里""",垃圾車3562,"""海安路三段135巷5號""",27,"""北區-01""",2
2049,台南市北區,2,20049,"""和順里""",垃圾車3563,"""臨安路二段288號""",27,"""北區-01""",2
2050,台南市北區,2,20050,"""成德里""",垃圾車3564,"""育德路106號""",27,"""北區-01""",2
2051,台南市北區,2,20051,"""成德里""",垃圾車3565,"""西門路四段65巷71號""",27,"""北區-01""",2
2052,台南市北區,2,20052,"""成德里""",垃圾車3566,"""西門路四段65巷55號""",27,"""北區-01""",2
2053,台南市北區,2,20053,"""成德里""",垃圾車3567,"""西門路四段31號""",27,"""北區-01""",2
2054,台南市北區,2,20054,"""成德里""",垃圾車3568,"""西門路四段15號""",27,"""北區-01""",2
2055,台南市北區,2,20055,"""成德里""",垃圾車3569,"""西門路四段7巷1號""",27,"""北區-01""",2
2056,台南市北區,2,20056,"""成德里""",垃圾車3570,"""西門路四段7巷71號""",27,"""北區-01""",2
2057,台南市北區,2,20057,"""成德里""",垃圾車3571,"""育德路73號""",27,"""北區-01""",2
2058,台南市北區,2,20058,"""成德里""",垃圾車3572,"""西門路四段7巷93號""",27,"""北區-01""",2
2059,台南市北區,2,20059,"""成德里""",垃圾車3573,"""育德二路51巷52號""",27,"""北區-01""",2
2060,台南市北區,2,20060,"""成德里""",垃圾車3574,"""育德二路55巷17弄33號""",27,"""北區-01""",2
2061,台南市北區,2,20061,"""成德里""",垃圾車3575,"""育德二路55巷23號""",27,"""北區-01""",2
2062,台南市北區,2,20062,"""和順里""",垃圾車3576,"""西門路三段215號""",27,"""北區-01""",2
