S_ID,Name,Store_type,Location_ID,Section,Address,Latitude,Longitude,Rating
501,Barclay Memorial Park,5,5001,25,"701, Taiwan, Tainan City, East District",22.9719929,120.2225874,4.4
502,Tainan Park,5,5002,25,"No. 89號, Gongyuan S Rd, North District, Tainan City, Taiwan 704",23.0022317,120.2115924,4.2
503,Yongkang Park,5,5003,25,"No. 100號, Xingguo St, Yongkang District, Tainan City, Taiwan 710",23.002754,120.244039,4.2
504,Xiaodong Park,5,5004,25,"701, Taiwan, Tainan City, East District, 小東路",23.0011694,120.2257725,4.1
505,Pingshi Park,5,5005,25,"710, Taiwan, Tainan City, Yongkang District, 小東路553號",22.996063,120.2363541,4.3
506,Tainan City Sports Park,5,5006,25,"No. 10, Tiyu Rd, South District, Tainan City, Taiwan 702",22.9759334,120.2098503,4.3
507,No.9 Park,5,5007,25,"Qingnian Rd, East District, Tainan City, Taiwan 701",22.9914796,120.2145303,4.2
508,Dongxing Park,5,5008,25,"701, Taiwan, Tainan City, East District",22.9972554,120.2250295,4.2
509,Wensheng Park,5,5009,25,"No. 255, Yuzhong Rd, East District, Tainan City, Taiwan 701",22.9829623,120.2425259,4.2
5010,Tainan Sports Park,5,50010,25,"No. 257, Section 1, Jiankang Rd, South District, Tainan City, Taiwan 702",22.9797734,120.2052045,4.2
5011,Daen Park,5,50011,25,"No. 186號, Lane 750, Section 2, Datong Rd, South District, Tainan City, Taiwan 702",22.965706,120.209966,4.1
5012,Nanmen Park,5,50012,25,"Lane 84, Section 1, Zhongyi Rd, West Central District, Tainan City, Taiwan 700",22.9866091,120.2035692,4.3
5013,Dongning Sports Park,5,50013,25,"No. 250號, Section 2, Linsen Rd, East District, Tainan City, Taiwan 701",22.9913922,120.2247529,4.2
5014,Chongshan Park,5,50014,25,"701, Taiwan, Tainan City, East District, Chongshan 4th St, 56號號",22.9745794,120.2300747,4.2
5015,Sanjiao Park,5,50015,25,"No. 311號, Section 1, Linsen Rd, East District, Tainan City, Taiwan 701",22.9834484,120.2181705,4.0
5016,Yujing Park,5,50016,25,"No. 9, Yujing 1st St, East District, Tainan City, Taiwan 701",22.9790278,120.2440587,4.0
5017,Donghe Park,5,50017,25,"Taiwan, Tainan City, East District, 701台南市東區",22.9988652,120.225174,4.5
5018,南榕廣場,5,50018,25,"701, Taiwan, Tainan City, East District",22.9964906,120.2195431,5.0
5019,Banyan Garden,5,50019,25,"701, Taiwan, Tainan City, East District, Dasyue Rd, 1號成功大學光復校區",23.0003294,120.2161599,4.6
5020,Thng Tik-Tsiong Memorial Park,5,50020,25,"No. 6, Section 1, Minsheng Rd, West Central District, Tainan City, Taiwan 700",22.9925951,120.2050199,4.1
5021,Guansheng Park,5,50021,25,"No. 229, Yuhe 5th St, East District, Tainan City, Taiwan 701",22.9861776,120.2467239,4.0
