Name,Address,Latitude,Longitude,Rating
Barclay Memorial Park,"701, Taiwan, Tainan City, East District",22.9719929,120.2225874,4.4
Tainan Park,"No. 89號, Gongyuan S Rd, North District, Tainan City, Taiwan 704",23.0022317,120.2115924,4.2
Yongkang Park,"No. 100號, Xingguo St, Yongkang District, Tainan City, Taiwan 710",23.002754,120.244039,4.2
Xiaodong Park,"701, Taiwan, Tainan City, East District, 小東路",23.0011694,120.2257725,4.1
Pingshi Park,"710, Taiwan, Tainan City, Yongkang District, 小東路553號",22.996063,120.2363541,4.3
Tainan City Sports Park,"No. 10, Tiyu Rd, South District, Tainan City, Taiwan 702",22.9759334,120.2098503,4.3
No.9 Park,"Qingnian Rd, East District, Tainan City, Taiwan 701",22.9914796,120.2145303,4.2
Dongxing Park,"701, Taiwan, Tainan City, East District",22.9972554,120.2250295,4.2
Wensheng Park,"No. 255, Yuzhong Rd, East District, Tainan City, Taiwan 701",22.9829623,120.2425259,4.2
Tainan Sports Park,"No. 257, Section 1, Jiankang Rd, South District, Tainan City, Taiwan 702",22.9797734,120.2052045,4.2
Daen Park,"No. 186號, Lane 750, Section 2, Datong Rd, South District, Tainan City, Taiwan 702",22.965706,120.209966,4.1
Nanmen Park,"Lane 84, Section 1, Zhongyi Rd, West Central District, Tainan City, Taiwan 700",22.9866091,120.2035692,4.3
Dongning Sports Park,"No. 250號, Section 2, Linsen Rd, East District, Tainan City, Taiwan 701",22.9913922,120.2247529,4.2
Chongshan Park,"701, Taiwan, Tainan City, East District, Chongshan 4th St, 56號號",22.9745794,120.2300747,4.2
Sanjiao Park,"No. 311號, Section 1, Linsen Rd, East District, Tainan City, Taiwan 701",22.9834484,120.2181705,4
Yujing Park,"No. 9, Yujing 1st St, East District, Tainan City, Taiwan 701",22.9790278,120.2440587,4
Donghe Park,"Taiwan, Tainan City, East District, 701台南市東區",22.9988652,120.225174,4.5
南榕廣場,"701, Taiwan, Tainan City, East District",22.9964906,120.2195431,5
Banyan Garden,"701, Taiwan, Tainan City, East District, Dasyue Rd, 1號成功大學光復校區",23.0003294,120.2161599,4.6
Thng Tik-Tsiong Memorial Park,"No. 6, Section 1, Minsheng Rd, West Central District, Tainan City, Taiwan 700",22.9925951,120.2050199,4.1
Guansheng Park,"No. 229, Yuhe 5th St, East District, Tainan City, Taiwan 701",22.9861776,120.2467239,4
Qianxi Park,"No. 95號, Yuhe 2nd St, East District, Tainan City, Taiwan 701",22.9859668,120.2403567,4.2
Chongxue Park,"No. 22, Chongxue Rd, East District, Tainan City, Taiwan 701",22.9778323,120.2216113,4
哈赫拿爾森林,"No. 90, Tiyu Rd, South District, Tainan City, Taiwan 702",22.976236,120.206164,3
Dongxingluyi Park,"704, Taiwan, Tainan City, North District, 小東路307巷96弄17號",23.0004049,120.2321992,3.9
Kaishan Park,"700, Taiwan, Tainan City, West Central District, Section 1, Fuqian Rd, 21號85 巷",22.9880699,120.209519,4.3
Shueipingwun Park,"No. 383, Section 2, Jinhua Rd, South District, Tainan City, Taiwan 702",22.9861513,120.1932148,4.1
Xinsheng Park,"Dalin Rd, South District, Tainan City, Taiwan 702",22.9760733,120.2124283,4.4
Chongde Park,"701, Taiwan, Tainan City, East District, 崇德七街33-45號",22.9752143,120.2279434,4.1
