address,categories/0,categories/1,categories/2,categories/3,categoryName,description,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,reviewsCount,state,street,title,totalScore,R_ID,Location_ID
70262台灣台南市南區健康路二段252巷17號,麵店,台灣餐廳,,,麵店,環境樸實的簡約餐廳，提供大份量牛肉湯麵。,22.9825555,120.1904405,星期五,11:30 to 19:30,星期六,休息,星期日,休息,星期一,11:30 to 19:30,星期二,11:30 to 19:30,星期三,11:30 to 19:30,星期四,11:30 to 19:30,1429,台南市南區,健康路二段252巷17號,阿銘牛肉麵,4.1,1,9001
704台灣台南市北區和緯路四段117巷50號,早餐餐廳,,,,早餐餐廳,,23.0075406,120.1908528,星期五,06:00 to 11:00,星期六,06:00 to 11:00,星期日,休息,星期一,06:00 to 11:00,星期二,06:00 to 11:00,星期三,06:00 to 11:00,星期四,06:00 to 11:00,12,台南市北區,和緯路四段117巷50號,阿醜早餐店,4.5,2,9002
700台灣台南市中西區金華路三段221號,中式麵食店,,,,中式麵食店,氣氛溫馨的家常麵館，供應麵食和傳統料理。,22.9947871,120.1935037,星期五,11:00 to 21:00,星期六,11:00 to 21:00,星期日,11:00 to 21:00,星期一,11:00 to 21:00,星期二,11:00 to 21:00,星期三,11:00 to 21:00,星期四,11:00 to 21:00,1704,台南市中西區,金華路三段221號,老鄭牛肉麵,4.0,3,9003
722台灣台南市佳里區光華街209號,壽喜燒和日式火鍋餐廳,亞洲菜餐廳,正宗日式料理餐廳,日本餐廳,壽喜燒和日式火鍋餐廳,,23.1650634,120.168515,星期五,"11:30 to 14:30, 17:30 to 20:30",星期六,"11:30 to 14:30, 17:30 to 20:30",星期日,"11:30 to 14:30, 17:30 to 20:30",星期一,"11:30 to 14:30, 17:30 to 20:30",星期二,"11:30 to 14:30, 17:30 to 20:30",星期三,"11:30 to 14:30, 17:30 to 20:30",星期四,休息,214,台南市佳里區,光華街209號,明治屋餐廳,4.0,4,9004
722台灣台南市佳里區南51鄉道,早餐餐廳,,,,早餐餐廳,,23.1612002,120.1923227,星期五,04:00 to 09:00,星期六,04:00 to 09:00,星期日,休息,星期一,04:00 to 09:00,星期二,04:00 to 09:00,星期三,04:00 to 09:00,星期四,04:00 to 09:00,10,台南市佳里區,南51鄉道,民安早餐店,4.1,5,9005
708台灣台南市安平區運河路43之1號2樓,炸物串與串炸餐廳,輕食餐廳,,,炸物串與串炸餐廳,,22.9981029,120.1612768,星期五,18:00 to 21:00,星期六,12:00 to 21:00,星期日,12:00 to 23:00,星期一,休息,星期二,休息,星期三,休息,星期四,休息,15,台南市安平區,運河路43之1號2樓,東牧景觀餐廳,4.0,6,9006
722台灣台南市佳里區仁愛路228號,餐廳,,,,餐廳,,23.153053,120.181413,星期五,07:00 to 13:30,星期六,07:00 to 13:30,星期日,休息,星期一,07:00 to 13:30,星期二,07:00 to 13:30,星期三,07:00 to 13:30,星期四,07:00 to 13:30,24,台南市佳里區,仁愛路228號,東方美早餐店,4.5,7,9007
745台灣台南市安定區海寮5之36號,台灣餐廳,,,,台灣餐廳,,23.0955531,120.2074032,星期五,"11:00 to 14:00, 17:00 to 21:00",星期六,"11:00 to 14:00, 17:00 to 21:00",星期日,"11:00 to 14:00, 17:00 to 21:00",星期一,"11:00 to 14:00, 17:00 to 21:00",星期二,休息,星期三,"11:00 to 14:00, 17:00 to 21:00",星期四,"11:00 to 14:00, 17:00 to 21:00",297,台南市安定區,海寮5之36號,盈賓休閒餐廳,4.6,8,9008
722台灣台南市佳里區文化路326號,早餐餐廳,早午餐餐廳,,,早餐餐廳,,23.1632607,120.1738307,星期五,05:30 to 10:30,星期六,05:30 to 11:00,星期日,休息,星期一,05:30 to 10:30,星期二,05:30 to 10:30,星期三,05:30 to 10:30,星期四,05:30 to 10:30,46,台南市佳里區,文化路326號,佳里文化早餐店,4.4,9,9009
700台灣台南市中西區忠義路二段84巷7號,台灣餐廳,中餐館,,,台灣餐廳,座無虛席的宴客餐廳，供應海鮮餐點、湯品和其他傳統料理。,22.9940875,120.2036807,星期五,"11:00 to 14:00, 17:00 to 21:00",星期六,"11:00 to 14:00, 17:00 to 21:00",星期日,"11:00 to 14:00, 17:00 to 21:00",星期一,休息,星期二,"11:00 to 14:00, 17:00 to 21:00",星期三,"11:00 to 14:00, 17:00 to 21:00",星期四,"11:00 to 14:00, 17:00 to 21:00",3165,台南市中西區,忠義路二段84巷7號,阿霞飯店 台南店,4.1,10,90010
702台灣台南市南區健康路一段375號,港式快餐店,中式糕餅店,英式餐廳,冰品飲料店,港式快餐店,,22.9812844,120.1996896,星期五,11:30 to 21:30,星期六,11:30 to 21:30,星期日,11:30 to 21:30,星期一,11:30 to 21:30,星期二,11:30 to 21:30,星期三,11:30 to 21:30,星期四,11:30 to 21:30,2758,台南市南區,健康路一段375號,英倫港式餐廳,4.6,11,90011
708台灣台南市安平區慶平路555之1號,中餐館,,,,中餐館,,22.9973186,120.1707423,星期五,"11:30 to 14:00, 17:00 to 20:00",星期六,休息,星期日,"11:30 to 14:00, 17:00 to 20:00",星期一,"11:30 to 14:00, 17:00 to 20:00",星期二,"11:30 to 14:00, 17:00 to 20:00",星期三,"11:30 to 14:00, 17:00 to 20:00",星期四,"11:30 to 14:00, 17:00 to 20:00",17,台南市安平區,慶平路555之1號,鄰家牛肉麵,3.6,12,90012
704台灣台南市北區大港街91號,早餐餐廳,,,,早餐餐廳,,23.0130058,120.1890114,星期五,06:30 to 12:00,星期六,06:30 to 12:00,星期日,06:30 to 12:00,星期一,06:30 to 12:00,星期二,06:30 to 12:00,星期三,06:30 to 12:00,星期四,06:30 to 12:00,32,台南市北區,大港街91號,早安早餐店,4.0,13,90013
704台灣台南市北區公園路996號,早餐餐廳,,,,早餐餐廳,,23.0167306,120.2149057,,,,,,,,,,,,,,,6,台南市北區,公園路996號,阿慧早餐店,4.7,14,90014
722台灣台南市佳里區義民街132號,早餐餐廳,,,,早餐餐廳,,23.161714,120.1775521,星期五,04:00 to 11:30,星期六,04:00 to 11:30,星期日,04:00 to 11:30,星期一,休息,星期二,04:00 to 11:30,星期三,04:30 to 11:30,星期四,04:30 to 11:30,2,台南市佳里區,義民街132號,ㄚ麗早餐店,4.0,15,90015
722台灣台南市佳里區光復路290號,中式麵食店,,,,中式麵食店,,23.1635364,120.1749047,星期五,"11:00 to 14:00, 16:30 to 21:00",星期六,"11:00 to 14:00, 16:30 to 21:00",星期日,"11:00 to 14:00, 16:30 to 21:00",星期一,"11:00 to 14:00, 16:30 to 21:00",星期二,"11:00 to 14:00, 16:30 to 21:00",星期三,"11:00 to 14:00, 16:30 to 21:00",星期四,"11:00 to 14:00, 16:30 to 21:00",90,台南市佳里區,光復路290號,老鄧牛肉麵,4.0,16,90016
