station_no,name_tw,district_tw,address_tw,lat,lng
"""501301001""","""七股遊客中心""","""七股區""","""七股區鹽埕里鹽埕69號""","""23.15375""","""120.10398"""
"""501302001""","""下營停一""","""下營區""","""中山路二段77號""","""23.23306""","""120.26170"""
"""501302002""","""下營區游泳池""","""下營區""","""水池街9號""","""23.23920""","""120.26188"""
"""501302003""","""下營道班房""","""下營區""","""營前街16號南側""","""23.22972""","""120.26345"""
"""501302004""","""下營文小2運動公園""","""下營區""","""博愛街32號西側""","""23.23582""","""120.25789"""
"""501302005""","""下營區公所""","""下營區""","""中山路一段170號""","""23.23557""","""120.26426"""
"""501302006""","""下營中山中華""","""下營區""","""中山路一段318號""","""23.23762""","""120.26816"""
"""501303002""","""大內石子瀨""","""大內區""","""大內區石湖里石子瀨357號東側""","""23.12280""","""120.35395"""
"""501304001""","""水道博物館""","""山上區""","""山上區山上里山上11-8號""","""23.09707""","""120.35986"""
"""501304002""","""淨水池區停車場""","""山上區""","""山上區新莊里新庄59-18號""","""23.08897""","""120.35868"""
"""501304003""","""山上國小""","""山上區""","""山上區南洲里南洲43號""","""23.10130""","""120.35557"""
"""501304004""","""山上區公所""","""山上區""","""山上區南洲里南洲325號""","""23.10316""","""120.35278"""
"""501305001""","""民生轉運站""","""中西區""","""民生路二段416號旁""","""22.99781""","""120.18759"""
"""501305002""","""海安民族""","""中西區""","""海安路二段297號前""","""22.99841""","""120.19767"""
"""501305003""","""海安正興""","""中西區""","""海安路二段90號對側""","""22.99461""","""120.19644"""
"""501305004""","""赤崁樓""","""中西區""","""赤嵌街9號(對側人行道)""","""22.99752""","""120.20227"""
"""501305005""","""家庭教育中心""","""中西區""","""公園路/公園路175巷(西北側)""","""22.99715""","""120.20639"""
"""501305006""","""小西門公園""","""中西區""","""和意路/永福路一段233巷口(東南側)""","""22.98840""","""120.19852"""
"""501305007""","""臺南市美術館二館""","""中西區""","""府前路一段與永福路二段口""","""22.99013""","""120.20049"""
"""501305008""","""延平郡王祠""","""中西區""","""開山路129號(對側人行道)""","""22.98844""","""120.20793"""
"""501305009""","""臺灣文學館""","""中西區""","""友愛街(臺灣文學館後門)""","""22.99111""","""120.20392"""
"""501305010""","""臺南大學(後校門)""","""中西區""","""健康路一段170巷12號(對側人行道)""","""22.98198""","""120.20708"""
"""501305012""","""部立臺南醫院""","""中西區""","""中山路125號前""","""22.99601""","""120.20977"""
"""501305013""","""頂湖公園""","""中西區""","""湖美二街/西湖街口""","""23.00385""","""120.18189"""
"""501305014""","""海安民權""","""中西區""","""海安路二段193號(對側人行道)""","""22.99671""","""120.19705"""
"""501305015""","""河樂廣場(金華路)""","""中西區""","""金華路三段/中正路口""","""22.99374""","""120.19335"""
"""501305016""","""萬昌街停車場""","""中西區""","""萬昌街87號(對側)""","""22.99115""","""120.21043"""
"""501305017""","""臺南生活美學館(府前路)""","""中西區""","""府前路二段/府前一街口""","""22.99219""","""120.18871"""
"""501305018""","""西湖公園""","""中西區""","""民權路四段/頂美二街口""","""22.99921""","""120.18458"""
"""501305019""","""河樂廣場(康樂街)""","""中西區""","""中正路347號旁""","""22.99327""","""120.19438"""
"""501305020""","""二府口公園(友愛街115巷)""","""中西區""","""友愛街115巷5號對側""","""22.99098""","""120.19957"""
"""501305021""","""海安中正""","""中西區""","""海安路一段211號東側""","""22.99308""","""120.19592"""
"""501305022""","""海安府前""","""中西區""","""海安路一段186號西側""","""22.99123""","""120.19560"""
"""501305023""","""西賢公園""","""中西區""","""西賢一街178號西側""","""23.00250""","""120.17756"""
"""501305024""","""湖美公園""","""中西區""","""湖美街60巷30號東側""","""23.00137""","""120.18126"""
"""501305025""","""西和綠園""","""中西區""","""文祥街258號東側""","""23.00055""","""120.18790"""
"""501305026""","""西華南成功""","""中西區""","""西華南街122號對側""","""22.99706""","""120.21000"""
"""501305027""","""華平民權""","""中西區""","""華平路770號西側""","""22.99949""","""120.17576"""
"""501305028""","""頂美公園""","""中西區""","""和緯路五段59巷22號東側""","""23.00562""","""120.18531"""
"""501305029""","""西賢一街187巷口""","""中西區""","""西賢一街187巷99號西側""","""23.00372""","""120.17547"""
"""501305032""","""孔廟文化園區(南門路)""","""中西區""","""南門路83號對側""","""22.98920""","""120.20452"""
"""501305033""","""開山大同""","""中西區""","""開山路317號西側""","""22.98500""","""120.21089"""
"""501305034""","""南門公園""","""中西區""","""南門路159-4號西側""","""22.98640""","""120.20419"""
"""501305036""","""和緯西賢""","""中西區""","""和緯路五段307號對側""","""23.00529""","""120.17903"""
"""501305037""","""武聖路69巷40弄口""","""中西區""","""武聖路83號""","""23.00583""","""120.19141"""
"""501305038""","""運河星鑽停車場""","""中西區""","""金華新路/大涼路口(西北側停車場)""","""22.99448""","""120.18859"""
"""501305040""","""臺南女中""","""中西區""","""大埔街97號""","""22.98719""","""120.20713"""
"""501306001""","""臺南都會公園(文華路)""","""仁德區""","""臺南都會公園(文華路二段)""","""22.93732""","""120.22319"""
"""501306002""","""臺南都會公園(文賢路)""","""仁德區""","""奇美博物館文賢路停車場""","""22.93625""","""120.22868"""
"""501306003""","""嘉南藥理大學""","""仁德區""","""嘉南藥理大學(北三機車停車場)""","""22.92231""","""120.22728"""
"""501306004""","""保安轉運站""","""仁德區""","""保安轉運站公車侯車亭旁 (文賢路一段)""","""22.9328""","""120.2306"""
