S_ID,station_no,Store_type,Location_ID,name_tw,district_tw,address_tw,lat,lng,Section
301,"""501301001""",3,3001,"""七股遊客中心""",台南市七股區,"""七股區鹽埕里鹽埕69號""","""23.15375""","""120.10398""",11.0
302,"""501302001""",3,3002,"""下營停一""",台南市下營區,"""中山路二段77號""","""23.23306""","""120.26170""",39.0
303,"""501302002""",3,3003,"""下營區游泳池""",台南市下營區,"""水池街9號""","""23.23920""","""120.26188""",39.0
304,"""501302003""",3,3004,"""下營道班房""",台南市下營區,"""營前街16號南側""","""23.22972""","""120.26345""",39.0
305,"""501302004""",3,3005,"""下營文小2運動公園""",台南市下營區,"""博愛街32號西側""","""23.23582""","""120.25789""",39.0
306,"""501302005""",3,3006,"""下營區公所""",台南市下營區,"""中山路一段170號""","""23.23557""","""120.26426""",39.0
307,"""501302006""",3,3007,"""下營中山中華""",台南市下營區,"""中山路一段318號""","""23.23762""","""120.26816""",39.0
308,"""501303002""",3,3008,"""大內石子瀨""",台南市大內區,"""大內區石湖里石子瀨357號東側""","""23.12280""","""120.35395""",
309,"""501304001""",3,3009,"""水道博物館""",台南市山上區,"""山上區山上里山上11-8號""","""23.09707""","""120.35986""",24.0
3010,"""501304002""",3,30010,"""淨水池區停車場""",台南市山上區,"""山上區新莊里新庄59-18號""","""23.08897""","""120.35868""",24.0
3011,"""501304003""",3,30011,"""山上國小""",台南市山上區,"""山上區南洲里南洲43號""","""23.10130""","""120.35557""",24.0
3012,"""501304004""",3,30012,"""山上區公所""",台南市山上區,"""山上區南洲里南洲325號""","""23.10316""","""120.35278""",24.0
3013,"""501305001""",3,30013,"""民生轉運站""",台南市中西區,"""民生路二段416號旁""","""22.99781""","""120.18759""",3.0
3014,"""501305002""",3,30014,"""海安民族""",台南市中西區,"""海安路二段297號前""","""22.99841""","""120.19767""",3.0
3015,"""501305003""",3,30015,"""海安正興""",台南市中西區,"""海安路二段90號對側""","""22.99461""","""120.19644""",3.0
3016,"""501305004""",3,30016,"""赤崁樓""",台南市中西區,"""赤嵌街9號(對側人行道)""","""22.99752""","""120.20227""",3.0
3017,"""501305005""",3,30017,"""家庭教育中心""",台南市中西區,"""公園路/公園路175巷(西北側)""","""22.99715""","""120.20639""",3.0
3018,"""501305006""",3,30018,"""小西門公園""",台南市中西區,"""和意路/永福路一段233巷口(東南側)""","""22.98840""","""120.19852""",3.0
3019,"""501305007""",3,30019,"""臺南市美術館二館""",台南市中西區,"""府前路一段與永福路二段口""","""22.99013""","""120.20049""",3.0
3020,"""501305008""",3,30020,"""延平郡王祠""",台南市中西區,"""開山路129號(對側人行道)""","""22.98844""","""120.20793""",3.0
3021,"""501305009""",3,30021,"""臺灣文學館""",台南市中西區,"""友愛街(臺灣文學館後門)""","""22.99111""","""120.20392""",3.0
3022,"""501305010""",3,30022,"""臺南大學(後校門)""",台南市中西區,"""健康路一段170巷12號(對側人行道)""","""22.98198""","""120.20708""",3.0
3023,"""501305012""",3,30023,"""部立臺南醫院""",台南市中西區,"""中山路125號前""","""22.99601""","""120.20977""",3.0
3024,"""501305013""",3,30024,"""頂湖公園""",台南市中西區,"""湖美二街/西湖街口""","""23.00385""","""120.18189""",3.0
