H_ID,Title,Price,Score,Equipment_ID,Location_ID,Housetype_ID,Landlord_ID
1,成大城《高樓層３房＋平車》含管、含１Ｇ網,25500,7,1,1,1,9
2,可報稅/優質社區/外商最愛/日式優質兩房,22000,8,2,2,2,2
3,可寵物，含管理費，傢俱家電俱全,21000,6,3,3,3,7
4,❤️租屋找阿興，超佛心可寵物/租補3房,30000,10,4,4,4,15
5,走路3分鐘到赤崁樓店面員工宿可寵物可神明,11000,2,5,5,5,14
6,#東區#電大兩房兩廳一衛#可申請租補,17000,6,6,6,6,21
7,清新高雅亮麗二房,14000,5,7,7,7,20
8,東區學生最愛健身明亮三房*近成大*,13000,0,8,8,8,8
9,水交社優質社區家具、家電齊全,25000,5,9,9,9,9
10,🌲遠雄頂美-2房含管-家具家電齊全🌲,27000,10,10,10,10,19
11,☘️沐光❤️台南大學/成功大學歡迎合租,28000,3,11,11,11,6
12,南華街15號3間套房近永華路新光西門,6800,6,12,12,12,6
13,【大晟社會住宅】近南紡健身5樓兩房可租補,9500,6,13,13,13,21
14,鄭子寮新源邸優質公園美景2+1房平車,33000,10,14,14,14,16
15,崇明居大坪美居附平車(租),25000,7,15,15,15,10
16,★頂美一街~大套房~全新整修☆,9000,10,16,16,16,4
17,【清景麟巴克禮】景觀三房平車，傢俱家電全,27500,8,17,17,17,15
18,【北府苑】全新完工，三改二房附平面車位,26000,1,18,18,18,6
19,商圈驛站庭園靜謐商務LV,23000,7,19,19,19,23
20,北區超值站前2+1房,23000,3,20,20,20,18
21,【耘非凡4房】+雙平車全新未住,88000,10,21,21,21,21
22,北區精緻3房電梯大樓✨可貓✨台水電,20000,3,22,22,22,6
23,㊝近南紡整層分租/可租屋補助/附平面車位,12000,0,23,23,23,11
24,國成社宅-開元路桂花鄉採光三房(可租補),20000,9,24,24,24,1
25,國成社宅-北區溫馨兩房(5/20後可看,19000,3,25,25,25,9
26,國成社會住宅-東區三房溫馨住家,25000,5,26,26,26,6
27,國成社宅-清景麟全新兩房含車管可租補,23000,5,27,27,27,16
28,近裕農路/好停車/現代風/速網/二房一衛,11000,2,28,28,28,2
29,站前CASA兩房拎包入住(含管),21000,5,29,29,29,1
30,大同路健身公寓三房兩廳(可租補),17000,6,30,30,30,13
31,(租)成大芳鄰採光三房平車,22000,3,31,31,31,2
32,文化中心芳鄰裝潢大二房+車位,18500,5,32,32,32,14
33,❤️租屋找阿興，高樓層超優美兩房首選,22000,9,33,33,33,21
34,成大兩房網五百M可申請租金補助續租有優惠,15000,3,34,34,34,18
35,國賓影城正樓上4房適合成大崑山同學合租,19500,4,35,35,35,18
36,遠雄新源邸全新2+1房平車,38000,9,36,36,36,8
37,長榮新城-生活機能佳、交通便利、環境好,17000,6,37,37,37,3
38,台南市中心樓下有電影院百貨老街美食集中區,17500,10,38,38,38,18
39,夢時代/溫馨3房/含平車含管理費,28000,0,39,39,39,10
40,安家✨東區崇學苑優質三房平車含管,25000,7,40,40,40,8
41,成大開元商圈高樓雅緻三房兩衛電梯美宅,25000,7,41,41,41,20
42,適合新婚夫婦小家庭最愛景觀三房包管及平車,23800,8,42,42,42,1
43,（可租補）採光佳/北區3房平車,26000,6,43,43,43,17
44,舒適無印¥北歐風¥清新節能宅,26500,4,44,44,44,24
45,北區文元國小優質裝潢3房提包入住,33000,4,45,45,45,5
46,【崇德商圈】兩房~含車含管附家電~可租補,24500,9,46,46,46,18
47,太子峰雲會~漂亮裝潢質感3房+平車家電全,35000,4,47,47,47,10
48,一番人気豪宅（穩定工作者價可議）,23000,5,48,48,48,23
49,市立醫院崇德商圈2房電寓，機械車位不可寵,15500,7,49,49,49,5
50,屋主自租-採光佳通風好三房兩衛,18000,8,50,50,50,8
51,富立和築2+1房+平面車位(含管理費),28000,2,51,51,51,17
52,北區電梯大樓適合住家/工作室(空屋),18000,7,52,52,52,21
53,屋主俗俗租近學區、臨路歡迎安親文教類,8500,8,53,53,53,22
54,興城團隊-成大城邊間採光3房,22000,5,54,54,54,3
55,【不用管社宅】恩典美房,18000,0,55,55,55,18
56,可報稅/優質社區/外商最愛/日式優質兩房,22000,1,56,56,56,22
57,金生金室高樓層景觀湯屋美寓+汽車停車位,22000,8,57,57,57,15
58,皇龍雲鼎👑頂級3房👑雙平車豪邸,60000,10,58,58,58,5
59,成大城《高樓層３房＋平車》含管、含１Ｇ網,25500,3,59,59,59,16
60,五妃街頂客極優美學精品宅,25000,5,60,60,60,20
61,美景如畫.大3房.大陽台.南大.新天地,16500,8,61,61,61,4
62,東區德式真諦三房平車,27000,6,62,62,62,8
63,二房一廳稀有大露台庭園宅,21500,10,63,63,63,1
64,成大城Ａ棟採光三房雙陽台（含管理費）,23500,5,64,64,64,12
65,民生正興星鑽無敵運河景三房二廳二衛大露臺,16800,10,65,65,65,1
66,大同路透天別墅近南大成大嘉藥大東夜市,25000,8,66,66,66,11
67,北安路一段透天5樓套房出租,8500,5,67,67,67,11
68,前鋒路精華地段,7500,4,68,68,68,24
69,成大城無敵景觀兩房平車,22000,3,69,69,69,12
70,【大晟社會住宅】東區稀有超大四房可寵!,22000,0,70,70,70,4
71,豐家社宅★免仲可補助★東寧公園正三房,21400,5,71,71,71,3
72,🚀遠雄頂美2房含管家具家電齊全🚀,27000,9,72,72,72,2
73,"獨棟透天,4房2衛可租補,8月後入",20000,9,73,73,73,20
74,精品台南後火車站成大4房2衛1廳1廚陽台,32000,1,74,74,74,14
75,✩࿐鑫左岸兩房傢俱全含車管,25000,0,75,75,75,23
76,北區北府苑全新系統櫃美三房含車管,32000,5,76,76,76,25
77,桂花鄉稀有面公園温馨三房,20000,7,77,77,77,6
78,"近成大校區,南紡夢時代,電梯公寓",24000,2,78,78,78,1
79,★近成大/南紡～東光路美二房~現況無廚房,17500,4,79,79,79,4
80,興城團隊-成大城採光好家具電齊全三房含車,27000,0,80,80,80,18
81,★近南紡/成大～東光路美二房~現況無廚房,17500,9,81,81,81,25
82,近水交社、新天地❤時尚2+1房附平面車位,26000,0,82,82,82,21
83,北府苑面中庭悠靜全新裝潢三房可加租車位,29000,9,83,83,83,7
84,免仲介費✨昕視界全新3房🔥可報稅可租補,23500,2,84,84,84,18
85,@安家租賃@東區*巷弄全新裝潢透天厝,27000,8,85,85,85,11
86,稀有透天全新全配傢俱家電新3房-全棟,20000,4,86,86,86,18
87,🚀兆基社宅#溫馨兩房家具電全可申請租補,18000,3,87,87,87,10
88,🚀兆基屋管#美麗佳園溫馨舒適大三房,25000,1,88,88,88,3
89,🚀兆基社宅#質感電梯三房#車位可另租,26000,4,89,89,89,7
90,🚀兆基社宅#溫馨三房可申請租補,16000,9,90,90,90,17
91,【大晟社會住宅】北區3房有車位可寵可租補,21000,9,91,91,91,12
92,林森路崇誨新村電梯大樓整戶出租,16000,6,92,92,92,16
93,世界帝標面忠孝國中高樓層三房無敵視野出租,25000,6,93,93,93,7
94,成大典雅健身三房寓(租)沒電梯3樓,17000,1,94,94,94,17
95,甜甜家園裝潢2+1房（沒電梯5樓）,18000,2,95,95,95,15
96,可租補-太子成大會館，近夢時代，傢俱全,15000,7,96,96,96,4
97,溫馨日系兩房（含管、車位）,19000,3,97,97,97,13
98,<興城團隊>正東區商圈景觀兩房,22000,7,98,98,98,16
99,免仲介費🔥東區🎃最新view兩房與寵,22325,4,99,99,99,1
100,🚀兆基社宅#機能超優#可租金補貼,17200,9,100,100,100,6
101,🚀寄居蟹社宅#南大學生合租首選#可補助,19000,8,101,101,101,15
102,(租)直播主最愛開放採光電梯美寓,20000,7,102,102,102,17
103,🚀寄居蟹社宅#東區稀有兩大套房,16000,10,103,103,103,5
104,🚀兆基社宅#精美大空間三房#可租補,17500,2,104,104,104,22
105,🚀兆基社宅#長榮路精美大空間住宅,13600,6,105,105,105,22
106,🚀兆基屋管#精美東區兩房#清景麟,26000,0,106,106,106,1
107,🚀兆基社宅#摩根168精美套房#可租補,11000,0,107,107,107,11
108,出租全新東區德高國小旁兩房加車位,24000,10,108,108,108,4
109,陽光鎮景觀2房平車~含管理費,20000,1,109,109,109,22
110,成大高樓3房含管|可養寵物-興城團隊,22000,7,110,110,110,8
111,星鴻社會住宅✨優質全新三房含裝潢家具車位,23000,2,111,111,111,7
112,世界帝標2房含家俱家電/機車位(無仲介費,19500,1,112,112,112,4
113,東區府連路透天分租/🉑租補寵物!,19000,8,113,113,113,14
114,成大城超值三房（含管理費）全配～免仲介費,20000,10,114,114,114,24
115,成大芳鄰~大3房美居,25000,5,115,115,115,1
116,東區富立建設_大坪數3+1房/含家俱家電,50000,8,116,116,116,10
117,免仲介費😍正東區🔥輕屋齡小資首選,20800,4,117,117,117,9
118,清景麟11F全新兩房，含管可租補報稅可寵,21000,6,118,118,118,22
119,中西區正國華街上兩房兩廳一衛,18800,3,119,119,119,6
120,【大晟社會住宅】全新高級傢俱正兩房含管,24000,1,120,120,120,8
121,@安家租賃善化店@東區崇學三房平車,25000,8,121,121,121,15
122,成大奇美生活圈可合租超大空間美4房,22500,0,122,122,122,23
123,免仲介費🐿️清景鄰萬坪公園2房平車✨,19800,6,123,123,123,1
124,市中心兩房家具電全有車位可短租,28000,1,124,124,124,11
125,免仲介費⭐北府苑｜明星學區採光3房,31000,1,125,125,125,4
126,新源邸朝東面公園・輕裝大兩房寓・謝絕八大,27000,10,126,126,126,1
127,南大容譽校區，和室原木裝潢/一大房一廳,10000,8,127,127,127,19
128,兆基屋管#可寵租補營登#北區裝潢兩房平車,30000,7,128,128,128,18
129,夢時代三房車寓(租),23000,6,129,129,129,21
130,正東區崇德商圈3房2廳整層住家,28000,2,130,130,130,3
131,東區電梯大樓，全新裝潢整理生活機能佳,20000,2,131,131,131,10
132,市醫學區2房2衛2廳拎包入住(有車位),21800,7,132,132,132,23
133,台南大學旁學生宿舍-三房兩廳/七月起租,15000,3,133,133,133,10
134,學生最愛近南大榮譽校區崇德商圈仁和商圈,29000,7,134,134,134,12
135,成大育樂街獨立套房(已下訂了哦),8000,4,135,135,135,5
136,遠雄北府苑/明星學區/全新裝潢家電,33000,9,136,136,136,2
137,不用管社宅~大坪數三房/原木裝潢~附車位,20000,0,137,137,137,16
138,梅茱精選近文化中心巴克禮公園崇明三房平車,27000,2,138,138,138,18
139,【不用管社宅】東區全配3房~附平車,22000,2,139,139,139,3
140,成大醫院成功大學長榮中學夢時代台南大學,13000,9,140,140,140,6
141,站前超大3房兩大廳兩衛全新整理舒適設備全,15000,1,141,141,141,7
142,【阿陽】富立DC可租車位溫馨2+1房,30000,7,142,142,142,7
