HT_id,Bedrooms,Living_rooms,floor_destination,floor_all,Area
1,2,0,17,24,26.2
2,2,1,10,14,25.0
3,1,0,4,14,17.3
4,2,0,13,14,36.7
5,1,1,2,3,20.0
6,1,0,5,11,20.0
7,1,0,15,20,22.3
8,3,0,3,5,28.0
9,3,1,5,7,49.0
10,1,0,6,23,16.0
11,3,1,3,3,75.0
12,1,0,2,3,20.0
13,1,1,5,5,15.8
14,2,0,10,24,40.0
15,1,1,9,13,33.0
16,1,1,6,7,10.0
17,1,0,14,14,41.5
18,1,1,4,15,41.2
19,1,1,9,9,23.0
20,1,0,2,14,22.0
21,1,0,3,26,117.9
22,1,0,6,7,18.0
23,3,1,2,4,15.0
24,1,0,9,14,27.1
25,3,0,14,24,15.0
26,1,1,11,13,27.0
27,1,1,13,14,12.0
28,2,0,4,4,13.0
29,1,0,3,14,27.0
30,1,0,4,5,27.9
31,1,0,6,6,29.0
32,2,0,5,7,17.5
33,1,1,10,14,25.0
34,3,1,2,6,12.5
35,1,0,11,14,35.6
36,1,1,23,24,49.8
37,2,1,5,12,26.0
38,1,1,18,20,21.0
39,2,0,12,15,40.0
40,1,1,6,15,24.8
41,2,0,13,14,21.0
42,1,1,9,19,35.0
43,1,1,3,9,28.0
44,2,1,6,8,39.0
45,1,0,2,15,44.8
46,1,0,5,7,35.2
47,2,1,10,13,62.6
48,3,1,10,14,25.0
49,1,0,5,7,20.0
50,3,0,5,5,28.0
51,1,0,4,15,33.4
52,1,1,7,10,28.6
53,1,1,3,4,44.0
54,1,1,2,24,22.0
55,2,1,4,12,36.5
56,1,0,10,14,25.0
57,1,1,11,14,16.2
58,1,0,8,20,75.0
59,1,0,17,24,26.2
60,3,0,7,7,23.9
61,1,0,4,5,34.0
62,1,1,9,11,35.3
63,1,1,2,14,25.0
64,1,1,8,24,22.5
65,2,1,20,21,32.0
66,2,1,5,4,50.0
67,1,1,5,5,5.0
68,1,1,8,8,18.0
69,2,0,16,24,35.3
70,1,0,8,15,39.2
71,1,0,8,15,43.2
72,2,0,6,22,16.0
73,1,0,3,3,26.0
74,2,0,3,4,26.0
75,1,0,18,19,31.1
76,1,0,3,15,24.0
77,1,0,9,14,27.1
78,1,0,14,21,28.0
79,2,0,2,7,17.8
80,1,0,15,24,27.6
81,1,0,2,7,17.8
82,3,1,13,14,35.0
83,1,0,4,15,36.5
84,2,1,9,15,24.9
85,1,1,2,3,25.9
86,1,0,1,2,33.0
87,1,0,7,25,21.5
88,3,1,9,10,30.8
89,1,1,10,14,25.8
90,1,0,8,12,27.9
91,2,0,6,13,29.7
92,1,1,3,12,27.0
93,1,1,12,14,30.0
94,1,0,3,5,28.4
95,1,1,5,5,27.1
96,1,0,8,14,18.0
97,1,0,17,19,15.0
98,1,1,10,14,15.8
99,1,1,8,15,27.0
100,1,1,5,14,17.3
101,2,0,6,7,24.0
102,1,0,4,5,22.3
103,1,0,1,1,9.9
104,1,0,4,12,30.3
105,2,0,2,5,25.9
106,1,1,3,14,20.1
107,2,0,8,14,8.1
108,1,0,8,14,27.0
109,3,1,13,20,18.3
110,1,0,19,24,26.1
111,1,0,3,15,23.1
112,1,0,11,14,19.0
113,1,0,1,3,49.6
114,1,0,4,22,24.8
115,1,1,3,7,43.6
116,1,1,12,15,46.0
117,1,1,2,7,22.0
118,3,0,4,14,13.0
119,2,1,5,7,20.4
120,1,0,7,15,18.6
121,3,0,6,15,24.8
122,1,0,4,4,36.2
123,1,0,13,14,25.0
124,2,0,8,9,16.0
125,1,0,3,15,23.0
126,1,0,6,24,29.0
127,3,0,5,6,13.0
128,1,1,2,5,15.3
129,2,0,1,11,43.0
130,3,1,10,15,46.0
131,1,1,6,7,19.0
132,3,1,2,7,17.0
133,1,1,3,4,29.0
134,1,0,2,4,70.0
135,3,0,4,5,8.0
136,1,0,15,15,26.0
137,1,0,4,12,28.8
138,1,0,2,9,29.3
139,1,0,4,9,36.0
140,1,1,4,4,24.5
141,3,0,5,5,38.0
142,1,1,4,25,32.2
