R_ID,Title,Type,ReviewsCount,Score,Location_ID
1,阿銘牛肉麵,1,1429,4.1,9001
2,阿醜早餐店,2,12,4.5,9002
3,老鄭牛肉麵,3,1704,4.0,9003
4,明治屋餐廳,4,214,4.0,9004
5,民安早餐店,2,10,4.1,9005
6,東牧景觀餐廳,5,15,4.0,9006
7,東方美早餐店,6,24,4.5,9007
8,盈賓休閒餐廳,7,297,4.6,9008
9,佳里文化早餐店,2,46,4.4,9009
10,阿霞飯店 台南店,7,3165,4.1,9010
11,英倫港式餐廳,8,2758,4.6,9011
12,鄰家牛肉麵,9,17,3.6,9012
13,早安早餐店,2,32,4.0,9013
14,阿慧早餐店,2,6,4.7,9014
15,ㄚ麗早餐店,2,2,4.0,9015
16,老鄧牛肉麵,3,90,4.0,9016
17,川味牛肉麵,9,198,4.1,9017
18,穀倉餐廳,6,2465,4.5,9018
19,尚品早餐店,2,2,5.0,9019
20,Saüté Restaurant 索緹餐酒,6,658,4.4,9020
21,東方美早餐店,6,12,4.8,9021
22,楊家牛肉麵,3,89,4.2,9022
23,福阪亭 日式茶屋,10,24,4.6,9023
24,上茄苳炸雞翅,11,4,5.0,9024
25,葉家牛肉麵,6,83,4.0,9025
26,無名早餐店,2,19,4.5,9026
27,國士無雙牛肉麵,3,250,4.6,9027
28,明奎早餐店,2,5,4.6,9028
29,美而美早餐店,2,4,5.0,9029
30,新寮傳統早餐店,2,11,4.0,9030
31,鴨片陳牛肉麵,9,44,4.3,9031
32,滿香園牛肉麵,3,308,3.9,9032
33,無名早餐店,2,1,5.0,9033
34,漁廬餐廳,6,18,4.2,9034
35,麥當勞-佳里延平店,12,1604,4.0,9035
36,中華一番,9,125,3.7,9036
37,富林早餐店,2,34,4.1,9037
38,無名早餐店,2,1,5.0,9038
39,瑪哈印度餐廳Maharaja indian Restaurant,13,751,4.3,9039
40,川本家居酒屋,14,137,4.7,9040
41,朋友居酒屋,15,772,4.3,9041
42,岬角居酒屋,6,293,4.4,9042
43,娜君早餐店,2,8,5.0,9043
44,十二小食,7,48,4.6,9044
45,阿娟牛肉麵,1,85,4.1,9045
46,東茂餐廳,6,61,4.0,9046
47,新和源餅舖,16,8,4.0,9047
48,呷卵,17,18,3.8,9048
49,後廍土礱間,18,12,4.4,9049
50,詔安麵飯店,6,6,4.3,9050
51,老夫子牛肉麵,1,66,4.2,9051
52,老拓音樂餐廳,19,1564,4.5,9052
53,富林漢堡早餐店,6,16,4.4,9053
54,詳の關東煮,11,3,5.0,9054
55,芳子家早餐店,2,3,5.0,9055
56,樹子脚餐廳,9,1,4.0,9056
57,麗珠小吃店,9,3,3.7,9057
58,阿芬活海產餐廳(創立二十年老字號）,20,994,3.8,9058
59,燈塔正阿芬活海鮮,20,253,4.3,9059
60,嘰哩咕嚕 燒肉飯．鍋燒意麵,9,6,3.8,9060
61,國聖橋土豆豬腳,7,354,3.9,9061
62,土城林家肉粿,2,5,4.0,9062
63,鍋寶臭臭鍋土城店,21,17,4.5,9063
64,國姓橋下肉燥飯,7,261,4.0,9064
65,國姓土豆豬腳,6,47,4.2,9065
66,富林漢堡（土城仔店）,2,1,5.0,9066
67,【崇義素食】手工現做早餐,22,22,4.9,9067
68,早安美芝城台南土城,2,76,4.0,9068
69,青葉活海產飲食店,6,186,4.0,9069
70,讚伯手工包子饅頭油飯,2,60,4.0,9070
71,阿玲早點,2,37,4.5,9071
72,菁寮早餐店,2,26,4.8,9072
73,十份足蚵仔煎,20,10,4.8,9073
74,小杜的店,20,208,4.1,9074
75,台南土城螃蟹專賣店（耐人蟳味）,6,147,4.8,9075
76,大立的店,9,1,5.0,9076
77,阿紅海産,20,169,4.2,9077
78,養生梵音蔬食,23,34,4.4,9078
79,土城海產店,20,2320,4.3,9079
80,呷好味現宰溫體牛肉湯,7,105,4.4,9080
81,六花亭,6,1,4.0,9081
82,569餐飲屋,24,98,4.1,9082
83,溪埔仔早餐店,2,9,4.6,9083
84,草本梁氏臭豆腐（土城正統鹿耳門聖母廟前）,9,5,5.0,9084
85,61線活海產,20,849,4.4,9085
86,阿樂活海產,20,757,3.9,9086
87,三股海鮮 四季海產,20,394,4.3,9087
88,榕樹下肉粽、碗粿、味增湯,2,69,4.1,9088
89,黃金先生-脆皮炸雞,5,2,5.0,9089
90,七股橋頭活海產,20,29,4.0,9090
91,上海香酥雞,5,5,3.8,9091
92,東東養生素食之家,25,14,4.6,9092
93,土城意麵,6,177,4.2,9093
94,國姓橋黑輪米血,26,113,4.1,9094
95,佳香美食館,24,184,4.4,9095
96,無名早餐店,2,6,5.0,9096
97,膳廚工坊,6,80,4.5,9097
98,炸海鮮一條街,6,119,4.0,9098
99,川手工肉包,6,31,4.6,9099
100,靜香緣素食,25,7,4.9,90100
101,大鼎藥膳排骨,6,50,4.4,90101
