RT_ID,Name
1,麵店
2,早餐餐廳
3,中式麵食店
4,壽喜燒和日式火鍋餐廳
5,炸物串與串炸餐廳
6,餐廳
7,台灣餐廳
8,港式快餐店
9,中餐館
10,酒樓
11,小吃攤
12,快餐店
13,印度餐廳
14,日本餐廳
15,居酒屋
16,甜品餐廳
17,亞洲菜餐廳
18,農家菜館
19,酒吧
20,海鮮餐廳
21,火鍋餐廳
22,純素餐廳
23,早午餐餐廳
24,中菜館
25,素食餐廳
26,關東煮餐廳
27,越南餐廳
28,長壽飲食餐廳
29,天婦羅餐廳
30,壽司店
31,家庭餐廳
32,西餐廳
33,涮涮鍋餐廳
34,小吃店
35,餃子店
36,葷食餐廳
37,粥餐廳
38,魚料理餐廳
39,湯品餐廳
40,牛雜鍋餐廳
41,酒店
42,融合菜式餐廳
43,雞肉餐廳
44,越式河粉餐廳
45,薄餅餐廳
46,印尼餐廳
47,豆腐餐廳
48,外賣自取餐廳
49,有機餐廳
50,冷麵店
51,鐵板燒餐廳
52,泰國餐廳
53,韓國餐廳
54,日式燒肉餐廳
55,清真餐廳
56,墨西哥餐廳
57,自助餐餐廳
58,現代法國餐廳
59,日式烤雞串餐廳
60,意大利餐廳
61,美式扒房
62,漢堡餐廳
63,德國餐廳
64,輕食餐廳
65,宴會廳
66,燒烤餐廳
67,拉麵店
68,熱狗餐廳
69,多國菜餐廳
70,小食/零食吧
71,炸雞外帶
72,日式炸豬扒餐廳
73,咖啡店
74,住宿
75,現代歐洲餐廳
76,護老院
77,烤雞速食店
78,道場餐廳
79,日式咖哩餐廳
80,健康食品餐廳
81,北意大利餐廳
82,正宗日式料理餐廳
83,現代居酒屋
84,四川酒家
85,菲律賓餐廳
86,章魚燒餐廳
87,食堂與定食餐廳
88,懷石料理餐廳
89,迴轉壽司餐廳
90,小餐館 (Bistro)
91,印尼炸雞餐廳
92,土耳其餐廳
93,歐洲餐廳
94,餐廳用品店
95,日本地方料理餐廳
96,現代印度餐廳
97,美式餐廳
98,熟食店
99,日式串燒餐廳
100,拉丁美洲餐廳
101,法國餐廳
102,美式墨西哥菜餐廳
103,日式西餐廳
104,粵菜館
105,客家菜館
106,天婦羅丼餐廳
107,鱉料理餐廳
108,韓式燒烤餐廳
109,現代美式餐廳
110,擔擔麵專門店
111,商店
112,午餐餐廳
113,料亭餐廳
114,京都風味日式餐廳
115,什錦麵館
116,鰻魚料理餐廳
